14
1200	1400	
rs3664317	360	0
Ifih1	480	175
Cd1d1	160	350
Dhx58	560	350
Oas1g	180	525
Trim25	480	525
Pml	0	700
Oas3	280	875
Pglyrp3	360	1050
Parp9	240	700
Oas1a	680	875
Ifit1	780	525
Mx1	480	700
Irf7	720	700
rs3664317	2
250	150
0
5	2	3	4	5	12
1	0.5479
2	0.4521
Ifih1	1
250	150
1	1
6	3	4	6	8	10	12
8.0586	0.0023
8.0826	0.0028
8.1066	0.0034
8.1306	0.0041
8.1546	0.0050
8.1787	0.0060
8.2027	0.0071
8.2267	0.0085
8.2507	0.0101
8.2747	0.0119
8.2987	0.0140
8.3227	0.0164
8.3467	0.0192
8.3707	0.0223
8.3947	0.0259
8.4187	0.0299
8.4427	0.0343
8.4667	0.0393
8.4908	0.0449
8.5148	0.0510
8.5388	0.0578
8.5628	0.0652
8.5868	0.0733
8.6108	0.0820
8.6348	0.0914
8.6588	0.1015
8.6828	0.1124
8.7068	0.1238
8.7308	0.1359
8.7548	0.1487
8.7788	0.1620
8.8029	0.1758
8.8269	0.1900
8.8509	0.2046
8.8749	0.2195
8.8989	0.2345
8.9229	0.2496
8.9469	0.2647
8.9709	0.2795
8.9949	0.2941
9.0189	0.3082
9.0429	0.3218
9.0669	0.3347
9.0909	0.3467
9.1150	0.3578
9.1390	0.3678
9.1630	0.3766
9.1870	0.3842
9.2110	0.3903
9.2350	0.3951
9.2590	0.3984
9.2830	0.4001
9.3070	0.4003
9.3310	0.3990
9.3550	0.3961
9.3790	0.3917
9.4030	0.3859
9.4271	0.3787
9.4511	0.3702
9.4751	0.3605
9.4991	0.3497
9.5231	0.3379
9.5471	0.3252
9.5711	0.3118
9.5951	0.2978
9.6191	0.2834
9.6431	0.2685
9.6671	0.2535
9.6911	0.2384
9.7151	0.2234
9.7392	0.2084
9.7632	0.1938
9.7872	0.1794
9.8112	0.1655
9.8352	0.1521
9.8592	0.1392
9.8832	0.1269
9.9072	0.1153
9.9312	0.1043
9.9552	0.0940
9.9792	0.0844
10.0032	0.0755
10.0272	0.0672
10.0513	0.0597
10.0753	0.0527
10.0993	0.0464
10.1233	0.0407
10.1473	0.0356
10.1713	0.0310
10.1953	0.0269
10.2193	0.0232
10.2433	0.0200
10.2673	0.0171
10.2913	0.0146
10.3153	0.0124
10.3393	0.0105
10.3634	0.0089
10.3874	0.0075
10.4114	0.0063
10.4354	0.0052
10.4594	0.0043
Cd1d1	1
250	150
2	1	2
3	6	8	9
8.7133	0.0010
8.7310	0.0012
8.7487	0.0015
8.7663	0.0019
8.7840	0.0023
8.8017	0.0029
8.8194	0.0035
8.8371	0.0043
8.8548	0.0052
