rs3664317	Oas1a	Parp9	Dhx58	Cd1d1	Irf7	Oas3	Pml	Mx1	Ifit1	Trim25	Oas1g	Pglyrp3	Ifih1	
0.000000	0.808614	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.250558	1.000000	0.000000	0.960922	0.000000	1.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.596398	0.000000	0.786929	0.055837	0.000000	0.000000	0.590731	0.000000	0.000000	
0.000000	0.942409	0.000000	0.000000	0.000000	0.018121	0.000000	0.000000	0.000000	0.409269	0.000000	0.401871	0.000000	0.000000	
0.000000	0.590731	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.018396	0.000000	
0.000000	0.038935	0.000000	0.500000	0.000000	0.036744	1.000000	0.000000	0.000000	0.000000	1.000000	0.039078	1.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.786929	0.164752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.056298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.981604	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.786929	0.000000	0.000000	0.000000	1.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.290596	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.075670	0.000000	0.000000	0.000000	1.000000	0.213071	0.641848	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.526176	1.000000	0.000000	0.000000	0.036744	0.000000	1.000000	0.269815	0.000000	0.000000	0.000000	1.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.750185	0.000000	0.622177	0.636861	0.590731	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.360110	1.000000	1.000000	1.000000	0.018780	1.000000	0.000000	0.000000	1.000000	1.000000	0.348314	0.000000	0.000000	
