Starts	3	0.432505	1.751249
Dist	3	0.094441	1.008991
SpkQual	2	0.434234	1.748252
MFuse	2	0.031607	1.000999
Alter	2	0.054690	1.002997
Starter	2	0.490666	1.402597
StMotor	2	0.070534	1.004995
BatAge	2	2.948418	3.295892
Charging	2	0.500244	1.497502
PlugVolt	2	0.908145	2.090909
BatVolt	2	0.914876	1.999001
Timing	2	0.293230	1.094905
Cranks	2	0.500010	1.515485
Plugs	2	0.819700	1.518482
AirFilter	3	0.294607	1.095904
Air	2	0.375671	1.169830
Fuel	2	0.416982	1.223776
GasTank	2	0.295974	1.096903
GasFilter	1	0.164975	1.027972
